Material,Alloy_Type,Density_g_cm3,Yield_Strength_MPa,Tensile_Strength_MPa,Hardness_HB,Corrosion_Resistance_0_10,Thermal_Conductivity_W_mK,Cost_Index_1_10,Melting_Point_C,Machinability,Primary_Application
Aluminum 6061,Aluminum,2.7,276.0,310.0,95.0,7,167.0,3,660.0,8,General Purpose
Aluminum 7075,Aluminum,2.81,505.0,570.0,150.0,6,130.0,7,477.0,6,Aerospace
Aluminum 2024,Aluminum,2.78,325.0,485.0,120.0,5,121.0,6,635.0,7,Aircraft Structures
Stainless Steel 304,Stainless Steel,8.0,215.0,505.0,217.0,8,16.3,4,1454.0,6,General Purpose
Stainless Steel 316,Stainless Steel,8.0,170.0,485.0,217.0,9,16.3,5,1425.0,5,Marine
Stainless Steel 440C,Stainless Steel,7.75,1720.0,1860.0,62.0,9,24.9,6,1425.0,4,Cutting Tools
Carbon Steel AISI 1045,Carbon Steel,7.85,310.0,565.0,163.0,3,50.0,2,1515.0,7,General Purpose
Carbon Steel AISI 4140,Carbon Steel,7.85,415.0,1040.0,311.0,3,42.6,3,1540.0,6,Structural
Tool Steel H13,Tool Steel,7.75,515.0,655.0,38.0,4,16.3,5,1345.0,5,Die Casting
Titanium Grade 2,Titanium,4.51,345.0,450.0,191.0,10,21.9,9,1668.0,4,Marine
Titanium Ti-6Al-4V,Titanium,4.43,880.0,950.0,334.0,10,7.4,9,1605.0,5,Aerospace
Titanium Ti-5Al-5V-5Fe,Titanium,4.81,1160.0,1260.0,369.0,9,8.4,8,1620.0,4,Aerospace
Inconel 718,Nickel Alloy,8.19,1034.0,1379.0,382.0,10,11.4,10,1260.0,3,Turbine Blades
Inconel 625,Nickel Alloy,8.44,345.0,1035.0,225.0,10,9.8,10,1350.0,3,Marine/Chemical
Hastelloy C-276,Nickel Alloy,8.89,310.0,655.0,217.0,10,10.1,10,1320.0,2,Chemical Processing
Magnesium AZ31,Magnesium,1.77,165.0,275.0,82.0,4,75.0,4,630.0,8,Automotive
Magnesium AZ91D,Magnesium,1.81,160.0,230.0,75.0,4,72.0,4,595.0,8,Casting
Copper C110,Copper,8.94,33.0,200.0,47.0,7,397.0,5,1083.0,9,Electrical
Brass C36000,Copper Alloy,8.53,300.0,380.0,95.0,6,121.0,4,920.0,9,General Purpose
Bronze C95400,Copper Alloy,8.86,200.0,380.0,100.0,8,26.0,5,1050.0,8,Marine
Beryllium Copper C17200,Copper Alloy,8.26,1310.0,1380.0,395.0,8,120.0,9,950.0,4,Springs
Nickel 200,Nickel,8.89,100.0,380.0,95.0,10,63.0,8,1455.0,7,Chemical Processing
Tungsten,Refractory,19.3,1500.0,1650.0,412.0,9,163.0,9,3422.0,2,High Temperature
Molybdenum,Refractory,10.28,565.0,655.0,180.0,7,142.0,8,2623.0,3,High Temperature
Tantalum,Refractory,16.69,180.0,207.0,78.0,10,57.5,10,3017.0,5,Chemical Processing
Cobalt L-605,Cobalt Alloy,8.89,450.0,1034.0,331.0,9,12.8,9,1495.0,3,High Temperature
Aluminum 5083,Aluminum,2.66,215.0,315.0,77.0,9,121.0,3,655.0,8,Marine
Aluminum 2014,Aluminum,2.8,415.0,480.0,105.0,5,121.0,6,645.0,7,Aircraft
Stainless Steel 410,Stainless Steel,7.75,275.0,415.0,187.0,6,25.3,3,1510.0,7,Valve Parts
Stainless Steel 630,Stainless Steel,7.75,1170.0,1310.0,382.0,8,12.2,6,1454.0,4,Aerospace
Duplex Steel 2205,Duplex Stainless,7.8,450.0,620.0,269.0,9,14.0,6,1480.0,5,Marine
Super Duplex 2507,Duplex Stainless,7.8,620.0,860.0,310.0,10,13.4,7,1500.0,4,Subsea
Ferritic Steel 430,Stainless Steel,7.7,172.0,310.0,149.0,7,26.1,2,1480.0,8,General Purpose
Martensitic Steel 420,Stainless Steel,7.75,517.0,620.0,217.0,8,24.9,3,1520.0,6,Cutting Tools
Aluminum 7178,Aluminum,2.84,570.0,620.0,158.0,6,121.0,7,475.0,6,Aerospace Structures
Titanium Ti-5Al-2.5Sn,Titanium,4.48,380.0,455.0,203.0,9,7.8,8,1650.0,5,Aerospace
Inconel X-750,Nickel Alloy,8.28,1000.0,1172.0,355.0,9,11.6,9,1150.0,3,Turbine
Rene 41,Nickel Alloy,8.25,1240.0,1380.0,390.0,9,13.5,9,1177.0,3,Jet Engines
Aluminum 3003,Aluminum,2.73,69.0,186.0,47.0,7,180.0,2,655.0,9,General Purpose
Copper Beryllium C17000,Copper Alloy,8.26,600.0,700.0,220.0,8,125.0,8,950.0,5,Springs
Magnesium ZE63,Magnesium,1.83,172.0,255.0,88.0,5,71.0,5,610.0,7,Castings
Nickel Alloy 263,Nickel Alloy,8.8,865.0,1310.0,310.0,9,12.5,8,1300.0,3,High Temperature
Cobalt MP35N,Cobalt Alloy,9.45,448.0,1516.0,450.0,10,10.0,9,1500.0,2,Medical Implants
Titanium Ti-10V-2Fe-3Al,Titanium,4.54,1275.0,1379.0,382.0,9,7.6,9,1720.0,3,Aerospace
Steel SAE 1015 (as-rolled),Carbon Steel,7.86,314.0,421.0,126.0,3,46.67,2,1522.3,7,General Purpose
Steel SAE 1015 (normalized),Carbon Steel,7.86,324.0,424.0,121.0,3,48.86,2,1493.2,7,General Purpose
